global_timestamp_sec,speaker,transcript,annotations,has_decision,has_explanation,has_new_idea
900.0,Yevgenia Kozorovitskiy,"Voltage sensor imaging is super important for neuroscience because despite the dominance of really heavily engineered GFP based calcium sensors, we know that calcium reporting of neural activity is really limited. Uh, it's got really slow temporal kinetics, which helped us at first because we didn't have a good imaging methods to go faster.","{'provide supporting evidence': 'Genia supports the importance of voltage sensor imaging by stating that calcium reporting of neural activity is limited due to its slow temporal kinetics, which was previously discussed in the context of genetic reporters.', 'explain or define term or concept': 'Genia explains why voltage sensor imaging is important for neuroscience, providing context for its use and limitations compared to calcium sensors.'}",False,True,False
904.0,Brad Smith,Yeah.,"{'acknowledge contribution': 'Brad Smith says ""Yeah"" in response to Luke\'s suggestion of using photoacoustic imaging to identify a region of interest and then using a fluorescent tag associated with it, acknowledging Luke\'s contribution but not necessarily agreeing or expanding on it.'}",False,False,False
905.0,Brad Smith,"I mean, I understand that problem in sort of in a clinical circumstance that you see a large piece of tissue and then you go in and then you try to do it almost cellular level microscopy.","{'explain or define term or concept': 'Brad is explaining the problem of needing to bridge the gap between large-scale tissue imaging and high-resolution cellular microscopy in a clinical setting, which is relevant to the discussion on deep tissue imaging modalities.', 'present new idea': 'Brad is presenting a new idea of bridging the gap between large-scale tissue imaging and high-resolution cellular microscopy in a clinical setting.'}",False,True,True
911.0,Brad Smith,"What are the challenges, Carolyn?","{'encourage particpatioin': 'Brad Smith is directly asking Carolyn for her input on the challenges of photoacoustic imaging, encouraging her to participate in the discussion.'}",False,False,False
911.0,Brad Smith,Adding then deep tissue on top of that seems a really difficult problem. Um.,"{'express frustration': 'Brad expresses that adding deep tissue imaging to the problem of imaging a large piece of tissue and then doing cellular level microscopy seems like a difficult problem, indicating frustration.'}",False,False,False
913.0,Carolyn Bayer,"Well, spatial resolution, right? So we're obviously not in the same domain as far as spatial resolution. So um, and then when you start thinking about how to improve spatial resolution, then sensitivity becomes a problem, you know, as you're imaging smaller and smaller objects.","[{'explain or define term or concept': 'Carolyn is explaining the limitations of photoacoustic imaging, specifically spatial resolution, which is relevant because Brad asked about the challenges of photoacoustic imaging.'}, {'provide supporting evidence': 'Carolyn provides supporting evidence by stating that improving spatial resolution leads to sensitivity problems, which is a challenge in photoacoustic imaging.'}]",False,True,False
916.0,Brad Smith,Uh see Shim.,"{'encourage particpatioin': 'Brad Smith is inviting Shim to speak next and share their modality, continuing the round of introductions.'}",False,False,False
917.0,Sixian You,"Hi everyone. My name is Sishan Yo. Uh, I recently started in electric engineering department at MIT. My background is in optics and microscopy. Uh, so, uh, we are very much troubled by deep tissue imaging because uh, we're we're blessed with this submicro resolution but we can rarely go deeper than millimeter uh depth. So what my lab does, uh, we want to tackle this issue and also a lot of other like imaging speed or contrast issue from three aspects. The first aspect is uh, um multiphoton imaging.","{'explain or define term or concept': 'The speaker is introducing themself and their background in optics and microscopy, providing context for their subsequent statements about deep tissue imaging.', 'present new idea': 'The speaker introduces the idea that their lab wants to tackle the deep tissue imaging issue, along with imaging speed and contrast issues, from three aspects, which is a new approach being presented.', 'expand on existing idea': 'The speaker mentions multiphoton imaging as the first aspect of their approach to tackle deep tissue imaging, building upon the previously mentioned problem of deep tissue imaging.'}",False,True,True
919.0,Brad Smith,Maybe we we'll we'll put a pin in that one as well.,"{'propose decision': ""Brad suggests to 'put a pin' in the current topic, which means to postpone the discussion, so the code applies.""}",True,False,False
926.0,Carolyn Bayer,"Just just to throw an idea out there not to talk about photoacoustics again, but people have tried to take temporal characteristics, right?","{'present new idea': ""Carolyn is introducing a new idea related to temporal characteristics, which hasn't been discussed in the immediate context, to address the problem of deep tissue imaging.""}",False,False,True
926.0,Carolyn Bayer,Yeah.,"[{'express agreement': ""Carolyn simply agrees with Brad's previous statement, indicating alignment in the conversation.""}]",False,False,False
927.0,Brad Smith,I think a couple of you are experts at at like fibers or wave guides or things that actually send the light in. Do you want to?,"{'encourage particpatioin': 'Brad Smith is encouraging someone to contribute to the discussion by asking if they want to talk about fibers or waveguides for sending light in, following a discussion about imaging modalities and deep tissue imaging.'}",False,False,False
929.0,Yevgenia Kozorovitskiy,"Uh, but it's slow, you know, it misses neuronal action potentials. It doesn't report hyperpolarization very well unless on a really slow time scale. Uh, it doesn't tell you very much about, you know, not nothing about sub threshold events, which is","{'provide supporting evidence': 'Genia is providing evidence to support the point that current calcium reporters are limited by explaining that they have slow temporal kinetics and miss neuronal action potentials, building on the discussion about genetic reporters and their limitations for voltage sensing.', 'expand on existing idea': 'Genia expands on the limitations of calcium reporters, which was brought up by Brad and Sixian, by detailing specific issues like slow temporal kinetics and inability to report hyperpolarization well.'}",False,False,False
932.0,Carolyn Bayer,"Where you have something that's blinking, um, and use that to improve resolution, right? So you can.","{'expand on existing idea': 'Carolyn is expanding on the idea of integrative techniques for wide field screening of tissue, by suggesting the use of temporal characteristics to improve resolution, building upon the previous discussion about identifying regions of interest for high magnification imaging.'}",False,False,False
935.0,Barbara Smith,"So what do we do in my lab? We're using um we're using actually clinically and clinical and research tools um to translate light and sound. And so we use electrodes as our wave guides to um to send light down, uh target a molecule of interest in the in the deep tissue um that uh might have a some genetic marker. And then um we we can get both sound wave and light wave back up the electrode.","{'explain or define term or concept': ""The speaker is explaining their lab's approach to translating light and sound using electrodes as waveguides, which clarifies their methodology for the group."", 'expand on existing idea': ""The speaker is expanding on the discussion of deep tissue imaging modalities by describing their lab's specific techniques using electrodes to deliver light and sound, building upon the previous discussion of photoacoustics and other methods.""}",False,True,False
935.0,Aniruddha Ray,"Right and and depth is, sorry, go ahead.","[{'encourage particpatioin': 'Aniruddha Ray says ""go ahead"" to encourage the other speaker to continue their thought, after Carolyn Bayer started to speak about the challenges of photoacoustic imaging.'}]",False,False,False
936.0,Brad Smith,"Yeah, no it's incredibly. The timer started going. Yes, it is very hard to talk with a clock in front of you, isn't it? It's a thing. It's a Well, thank you very much to everybody. It's uh these sessions are always a little draining when everyone's staring at each other and trying to overcome that flight or fight.","[{'express enthusiasm': 'Brad expresses enthusiasm by saying ""Yeah, no it\'s incredibly"" to the previous speaker\'s explanation.'}, {'express humor': 'Brad expresses humor by saying ""Yes, it is very hard to talk with a clock in front of you, isn\'t it?"".'}]",False,False,False
939.0,Carolyn Bayer,I would I would love to figure out how to how to bridge that though.,"{'express enthusiasm': 'Carolyn expresses enthusiasm for bridging the gap between spatial resolution and sensitivity in photoacoustic imaging, which was just discussed.'}",False,False,False
941.0,Carolyn Bayer,"If your photoacoustic reporter is blinking, then you know, you can use a video and you can parse out the specific location of that thing. So.","{'expand on existing idea': 'Carolyn is expanding on the idea of using temporal characteristics to improve resolution in photoacoustic imaging, building on the previous discussion about challenges in deep tissue imaging and the limitations of current techniques.'}",False,False,False
943.0,Aniruddha Ray,"And and depth is also a problem. the deeper you go, the poorer the resolution becomes.","{'expand on existing idea': 'Carolyn mentioned spatial resolution as a challenge for photoacoustic imaging, and Aniruddha expands on this by adding that depth is also a problem, as resolution decreases with increasing depth.'}",False,False,False
948.0,Yevgenia Kozorovitskiy,"you know, everything about how neurons compute is about sub threshold very interesting biophysics and integration across the, you know, unique and neuron type specific uh dendritic trees that they used to collect information with. Um,","{'explain or define term or concept': 'The speaker is explaining the importance of sub-threshold events in neuronal computation, which is a key concept in neuroscience, to provide context for the discussion on voltage sensors and their limitations compared to calcium sensors.', 'expand on existing idea': 'This utterance expands on the previous discussion about voltage indicators by explaining why voltage sensor imaging is important for neuroscience, highlighting the limitations of calcium reporting and the significance of sub-threshold events in neuronal computation.'}",False,True,False
949.0,Aniruddha Ray,"Um, for example with photoacoustic microscopy, it's possible to get down to few tens of uh micron resolution.","{'provide supporting evidence': 'Aniruddha provides an example of the resolution achievable with photoacoustic microscopy, supporting the discussion about its capabilities and limitations.'}",False,False,False
952.0,Brad Smith,"Yes, I suppose there is lifetime imaging.","{'expand on existing idea': ""Brad is building on Carolyn's idea of using temporal characteristics to improve resolution by mentioning lifetime imaging, which is related to temporal characteristics.""}",False,False,False
955.0,Brad Smith,Does anybody here work in lifetime imaging? I mean is that is that a technology that would work at a deeper tissue as well?,"[{'ask clarifying question': 'Brad is asking if anyone in the group uses lifetime imaging and if it is applicable for deep tissue imaging, seeking to understand its potential in this context.'}]",False,False,False
956.0,Aniruddha Ray,"Um, or or even a few micron resolution.","{'expand on existing idea': 'This utterance expands on the previous statement about photoacoustic microscopy, adding details about the potential resolution achievable.'}",False,False,False
960.0,Silvia Ronco,.,[{'None': 'No code applies to this utterance as it is an empty statement.'}],False,False,False
962.0,Aniruddha Ray,"Okay, so there was some problem with this.",{'None': 'No code applies to this utterance.'},False,False,False
966.0,Brad Smith,"You just saved it for you, did it?","[{'express humor': 'Brad makes a joke after Aniruddha mentions there was a problem with the document, expressing humor.'}]",False,False,False
967.0,Sixian You,"How can we uh design different wavefront shaping or post shaping or even light engineering, light generation techniques to enable deeper penetration of the light. Uh, that's one aspect. Uh, so we work on label free imaging technologies and also just uh uh common multiphoton coherent image coherent raming imaging.","{'present new idea': 'Sixian introduces the idea of designing different wavefront shaping, post-shaping, or light engineering techniques to enable deeper light penetration, which is a novel approach not explicitly mentioned before.', 'expand on existing idea': 'Sixian expands on the topic of multiphoton imaging, which was previously mentioned as a modality, by detailing specific techniques like wavefront shaping and light engineering to improve light penetration.', 'explain or define term or concept': 'Sixian explains that their lab works on label-free imaging technologies and multiphoton coherent imaging, clarifying the specific areas of their research.'}",False,True,True
968.0,Yevgenia Kozorovitskiy,"Um,","{'Um': {'Code Name': 'None', 'Explanation': 'This utterance is just a filler word and does not fit any of the codes.'}}",False,False,False
